period,电厂名称,机组编号,机组类型,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
1,金陵电厂,G1,火电,120.0,181.9,90.0,251.9,60.0,326.9,,,,,,,,,,,,,,
1,江北电厂,G2,火电,101.2,201.9,73.6,271.9,50.6,346.9,,,,,,,,,,,,,,
1,沿海风电场,W1,风电,60.6,0.0,,,,,,,,,,,,,,,,,,
1,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
2,金陵电厂,G1,火电,120.0,181.2,90.0,251.2,60.0,326.2,,,,,,,,,,,,,,
2,江北电厂,G2,火电,101.2,201.2,73.6,271.2,50.6,346.2,,,,,,,,,,,,,,
2,沿海风电场,W1,风电,66.9,0.0,,,,,,,,,,,,,,,,,,
2,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
3,金陵电厂,G1,火电,120.0,180.7,90.0,250.7,60.0,325.7,,,,,,,,,,,,,,
3,江北电厂,G2,火电,101.2,200.7,73.6,270.7,50.6,345.7,,,,,,,,,,,,,,
3,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
3,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
4,金陵电厂,G1,火电,120.0,180.5,90.0,250.5,60.0,325.5,,,,,,,,,,,,,,
4,江北电厂,G2,火电,101.2,200.5,73.6,270.5,50.6,345.5,,,,,,,,,,,,,,
4,沿海风电场,W1,风电,65.8,0.0,,,,,,,,,,,,,,,,,,
4,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
5,金陵电厂,G1,火电,120.0,180.9,90.0,250.9,60.0,325.9,,,,,,,,,,,,,,
5,江北电厂,G2,火电,101.2,200.9,73.6,270.9,50.6,345.9,,,,,,,,,,,,,,
5,沿海风电场,W1,风电,62.3,0.0,,,,,,,,,,,,,,,,,,
5,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
6,金陵电厂,G1,火电,120.0,181.9,90.0,251.9,60.0,326.9,,,,,,,,,,,,,,
6,江北电厂,G2,火电,101.2,201.9,73.6,271.9,50.6,346.9,,,,,,,,,,,,,,
6,沿海风电场,W1,风电,62.3,0.0,,,,,,,,,,,,,,,,,,
6,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
7,金陵电厂,G1,火电,120.0,183.7,90.0,253.7,60.0,328.7,,,,,,,,,,,,,,
7,江北电厂,G2,火电,101.2,203.7,73.6,273.7,50.6,348.7,,,,,,,,,,,,,,
7,沿海风电场,W1,风电,65.8,0.0,,,,,,,,,,,,,,,,,,
7,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
8,金陵电厂,G1,火电,120.0,185.5,90.0,255.5,60.0,330.5,,,,,,,,,,,,,,
8,江北电厂,G2,火电,101.2,205.5,73.6,275.5,50.6,350.5,,,,,,,,,,,,,,
8,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
8,城郊光伏站,S1,光伏,31.1,0.0,,,,,,,,,,,,,,,,,,
9,金陵电厂,G1,火电,120.0,186.6,90.0,256.6,60.0,331.6,,,,,,,,,,,,,,
9,江北电厂,G2,火电,101.2,206.6,73.6,276.6,50.6,351.6,,,,,,,,,,,,,,
9,沿海风电场,W1,风电,66.9,0.0,,,,,,,,,,,,,,,,,,
9,城郊光伏站,S1,光伏,60.0,0.0,,,,,,,,,,,,,,,,,,
10,金陵电厂,G1,火电,120.0,187.2,90.0,257.2,60.0,332.2,,,,,,,,,,,,,,
