period,时刻,机组编号,机组名称,机组类型,可用出力(MW)
1,00:00,W1,沿海风电场,风电,76.0
1,00:00,S1,城郊光伏站,光伏,0
2,00:15,W1,沿海风电场,风电,78.5
2,00:15,S1,城郊光伏站,光伏,0
3,00:30,W1,沿海风电场,风电,80.8
3,00:30,S1,城郊光伏站,光伏,0
4,00:45,W1,沿海风电场,风电,82.9
4,00:45,S1,城郊光伏站,光伏,0
5,01:00,W1,沿海风电场,风电,84.5
5,01:00,S1,城郊光伏站,光伏,0
6,01:15,W1,沿海风电场,风电,85.8
6,01:15,S1,城郊光伏站,光伏,0
7,01:30,W1,沿海风电场,风电,86.5
7,01:30,S1,城郊光伏站,光伏,0
8,01:45,W1,沿海风电场,风电,86.7
8,01:45,S1,城郊光伏站,光伏,0
9,02:00,W1,沿海风电场,风电,86.5
9,02:00,S1,城郊光伏站,光伏,0
10,02:15,W1,沿海风电场,风电,85.7
10,02:15,S1,城郊光伏站,光伏,0
11,02:30,W1,沿海风电场,风电,84.6
11,02:30,S1,城郊光伏站,光伏,0
12,02:45,W1,沿海风电场,风电,83.2
12,02:45,S1,城郊光伏站,光伏,0
13,03:00,W1,沿海风电场,风电,81.6
13,03:00,S1,城郊光伏站,光伏,0
14,03:15,W1,沿海风电场,风电,80.0
14,03:15,S1,城郊光伏站,光伏,0
15,03:30,W1,沿海风电场,风电,78.4
15,03:30,S1,城郊光伏站,光伏,0
16,03:45,W1,沿海风电场,风电,77.0
16,03:45,S1,城郊光伏站,光伏,0
17,04:00,W1,沿海风电场,风电,75.9
17,04:00,S1,城郊光伏站,光伏,0
18,04:15,W1,沿海风电场,风电,75.2
18,04:15,S1,城郊光伏站,光伏,0
19,04:30,W1,沿海风电场,风电,74.9
19,04:30,S1,城郊光伏站,光伏,0
20,04:45,W1,沿海风电场,风电,75.0
20,04:45,S1,城郊光伏站,光伏,0
21,05:00,W1,沿海风电场,风电,75.5
21,05:00,S1,城郊光伏站,光伏,0
22,05:15,W1,沿海风电场,风电,76.4
22,05:15,S1,城郊光伏站,光伏,0
23,05:30,W1,沿海风电场,风电,77.6
23,05:30,S1,城郊光伏站,光伏,0
24,05:45,W1,沿海风电场,风电,79.0
24,05:45,S1,城郊光伏站,光伏,0
25,06:00,W1,沿海风电场,风电,80.4
25,06:00,S1,城郊光伏站,光伏,0
26,06:15,W1,沿海风电场,风电,81.8
26,06:15,S1,城郊光伏站,光伏,8.2
27,06:30,W1,沿海风电场,风电,83.0
27,06:30,S1,城郊光伏站,光伏,16.3
28,06:45,W1,沿海风电场,风电,84.0
28,06:45,S1,城郊光伏站,光伏,24.4
29,07:00,W1,沿海风电场,风电,84.5
29,07:00,S1,城郊光伏站,光伏,32.4
30,07:15,W1,沿海风电场,风电,84.7
30,07:15,S1,城郊光伏站,光伏,40.2
31,07:30,W1,沿海风电场,风电,84.3
31,07:30,S1,城郊光伏站,光伏,47.8
32,07:45,W1,沿海风电场,风电,83.4
32,07:45,S1,城郊光伏站,光伏,55.3
33,08:00,W1,沿海风电场,风电,82.1
33,08:00,S1,城郊光伏站,光伏,62.5
34,08:15,W1,沿海风电场,风电,80.3
34,08:15,S1,城郊光伏站,光伏,69.4
35,08:30,W1,沿海风电场,风电,78.1
35,08:30,S1,城郊光伏站,光伏,76.1
36,08:45,W1,沿海风电场,风电,75.7
36,08:45,S1,城郊光伏站,光伏,82.4
37,09:00,W1,沿海风电场,风电,73.1
37,09:00,S1,城郊光伏站,光伏,88.4
38,09:15,W1,沿海风电场,风电,70.5
38,09:15,S1,城郊光伏站,光伏,94.0
39,09:30,W1,沿海风电场,风电,68.1
39,09:30,S1,城郊光伏站,光伏,99.2
40,09:45,W1,沿海风电场,风电,65.8
40,09:45,S1,城郊光伏站,光伏,103.9
41,10:00,W1,沿海风电场,风电,63.9
41,10:00,S1,城郊光伏站,光伏,108.3
42,10:15,W1,沿海风电场,风电,62.5
42,10:15,S1,城郊光伏站,光伏,112.1
43,10:30,W1,沿海风电场,风电,61.4
43,10:30,S1,城郊光伏站,光伏,115.5
44,10:45,W1,沿海风电场,风电,60.9
44,10:45,S1,城郊光伏站,光伏,118.4
45,11:00,W1,沿海风电场,风电,60.8
45,11:00,S1,城郊光伏站,光伏,120.7
46,11:15,W1,沿海风电场,风电,61.2
46,11:15,S1,城郊光伏站,光伏,122.6
47,11:30,W1,沿海风电场,风电,61.9
47,11:30,S1,城郊光伏站,光伏,123.9
48,11:45,W1,沿海风电场,风电,62.9
48,11:45,S1,城郊光伏站,光伏,124.7
49,12:00,W1,沿海风电场,风电,64.0
49,12:00,S1,城郊光伏站,光伏,125.0
50,12:15,W1,沿海风电场,风电,65.1
50,12:15,S1,城郊光伏站,光伏,124.7
51,12:30,W1,沿海风电场,风电,66.2
51,12:30,S1,城郊光伏站,光伏,123.9
52,12:45,W1,沿海风电场,风电,67.0
52,12:45,S1,城郊光伏站,光伏,122.6
53,13:00,W1,沿海风电场,风电,67.6
53,13:00,S1,城郊光伏站,光伏,120.7
54,13:15,W1,沿海风电场,风电,67.7
54,13:15,S1,城郊光伏站,光伏,118.4
55,13:30,W1,沿海风电场,风电,67.5
55,13:30,S1,城郊光伏站,光伏,115.5
56,13:45,W1,沿海风电场,风电,66.8
56,13:45,S1,城郊光伏站,光伏,112.1
57,14:00,W1,沿海风电场,风电,65.7
57,14:00,S1,城郊光伏站,光伏,108.3
58,14:15,W1,沿海风电场,风电,64.2
58,14:15,S1,城郊光伏站,光伏,103.9
59,14:30,W1,沿海风电场,风电,62.4
59,14:30,S1,城郊光伏站,光伏,99.2
60,14:45,W1,沿海风电场,风电,60.4
60,14:45,S1,城郊光伏站,光伏,94.0
61,15:00,W1,沿海风电场,风电,58.4
61,15:00,S1,城郊光伏站,光伏,88.4
62,15:15,W1,沿海风电场,风电,56.4
62,15:15,S1,城郊光伏站,光伏,82.4
63,15:30,W1,沿海风电场,风电,54.6
63,15:30,S1,城郊光伏站,光伏,76.1
64,15:45,W1,沿海风电场,风电,53.1
64,15:45,S1,城郊光伏站,光伏,69.4
65,16:00,W1,沿海风电场,风电,51.9
65,16:00,S1,城郊光伏站,光伏,62.5
66,16:15,W1,沿海风电场,风电,51.3
66,16:15,S1,城郊光伏站,光伏,55.3
67,16:30,W1,沿海风电场,风电,51.1
67,16:30,S1,城郊光伏站,光伏,47.8
68,16:45,W1,沿海风电场,风电,51.5
68,16:45,S1,城郊光伏站,光伏,40.2
69,17:00,W1,沿海风电场,风电,52.3
69,17:00,S1,城郊光伏站,光伏,32.4
70,17:15,W1,沿海风电场,风电,53.7
70,17:15,S1,城郊光伏站,光伏,24.4
71,17:30,W1,沿海风电场,风电,55.4
71,17:30,S1,城郊光伏站,光伏,16.3
72,17:45,W1,沿海风电场,风电,57.4
72,17:45,S1,城郊光伏站,光伏,8.2
73,18:00,W1,沿海风电场,风电,59.6
73,18:00,S1,城郊光伏站,光伏,0
74,18:15,W1,沿海风电场,风电,61.8
74,18:15,S1,城郊光伏站,光伏,0
75,18:30,W1,沿海风电场,风电,64.0
75,18:30,S1,城郊光伏站,光伏,0
76,18:45,W1,沿海风电场,风电,65.9
76,18:45,S1,城郊光伏站,光伏,0
