period,用户名称,用户编号,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
1,一号线缆厂,U1,51.8,497.5,40.7,377.5,,,,,,,,,,,,,,,,
1,二号钢厂,U2,58.8,467.5,50.0,327.5,,,,,,,,,,,,,,,,
1,三号商业用户,U3,35.4,427.5,35.4,277.5,,,,,,,,,,,,,,,,
2,一号线缆厂,U1,48.7,496.9,38.3,376.9,,,,,,,,,,,,,,,,
2,二号钢厂,U2,55.3,466.9,47.1,326.9,,,,,,,,,,,,,,,,
2,三号商业用户,U3,33.3,426.9,33.3,276.9,,,,,,,,,,,,,,,,
3,一号线缆厂,U1,46.5,496.4,36.5,376.4,,,,,,,,,,,,,,,,
3,二号钢厂,U2,52.7,466.4,44.9,326.4,,,,,,,,,,,,,,,,
3,三号商业用户,U3,31.7,426.4,31.7,276.4,,,,,,,,,,,,,,,,
4,一号线缆厂,U1,45.7,496.2,35.9,376.2,,,,,,,,,,,,,,,,
4,二号钢厂,U2,51.8,466.2,44.2,326.2,,,,,,,,,,,,,,,,
4,三号商业用户,U3,31.2,426.2,31.2,276.2,,,,,,,,,,,,,,,,
5,一号线缆厂,U1,47.2,496.6,37.1,376.6,,,,,,,,,,,,,,,,
5,二号钢厂,U2,53.6,466.6,45.6,326.6,,,,,,,,,,,,,,,,
5,三号商业用户,U3,32.2,426.6,32.2,276.6,,,,,,,,,,,,,,,,
6,一号线缆厂,U1,51.8,497.5,40.7,377.5,,,,,,,,,,,,,,,,
6,二号钢厂,U2,58.8,467.5,50.0,327.5,,,,,,,,,,,,,,,,
6,三号商业用户,U3,35.4,427.5,35.4,277.5,,,,,,,,,,,,,,,,
7,一号线缆厂,U1,59.4,499.0,46.7,379.0,,,,,,,,,,,,,,,,
7,二号钢厂,U2,67.4,469.0,57.4,329.0,,,,,,,,,,,,,,,,
7,三号商业用户,U3,40.6,429.0,40.6,279.0,,,,,,,,,,,,,,,,
8,一号线缆厂,U1,67.0,500.5,52.7,380.5,,,,,,,,,,,,,,,,
8,二号钢厂,U2,76.0,470.5,64.8,330.5,,,,,,,,,,,,,,,,
8,三号商业用户,U3,45.8,430.5,45.8,280.5,,,,,,,,,,,,,,,,
9,一号线缆厂,U1,71.6,501.3,56.2,381.3,,,,,,,,,,,,,,,,
9,二号钢厂,U2,81.2,471.3,69.2,331.3,,,,,,,,,,,,,,,,
9,三号商业用户,U3,48.9,431.3,48.9,281.3,,,,,,,,,,,,,,,,
10,一号线缆厂,U1,73.9,501.8,58.0,381.8,,,,,,,,,,,,,,,,
10,二号钢厂,U2,83.8,471.8,71.4,331.8,,,,,,,,,,,,,,,,
10,三号商业用户,U3,50.4,431.8,50.4,281.8,,,,,,,,,,,,,,,,
11,一号线缆厂,U1,72.4,501.5,56.8,381.5,,,,,,,,,,,,,,,,
11,二号钢厂,U2,82.1,471.5,69.9,331.5,,,,,,,,,,,,,,,,
11,三号商业用户,U3,49.4,431.5,49.4,281.5,,,,,,,,,,,,,,,,
12,一号线缆厂,U1,70.8,501.2,55.7,381.2,,,,,,,,,,,,,,,,
12,二号钢厂,U2,80.4,471.2,68.4,331.2,,,,,,,,,,,,,,,,
12,三号商业用户,U3,48.4,431.2,48.4,281.2,,,,,,,,,,,,,,,,
13,一号线缆厂,U1,69.3,500.9,54.5,380.9,,,,,,,,,,,,,,,,
13,二号钢厂,U2,78.6,470.9,67.0,330.9,,,,,,,,,,,,,,,,
13,三号商业用户,U3,47.3,430.9,47.3,280.9,,,,,,,,,,,,,,,,
14,一号线缆厂,U1,68.5,500.8,53.9,380.8,,,,,,,,,,,,,,,,
14,二号钢厂,U2,77.8,470.8,66.2,330.8,,,,,,,,,,,,,,,,
14,三号商业用户,U3,46.8,430.8,46.8,280.8,,,,,,,,,,,,,,,,
15,一号线缆厂,U1,70.1,501.1,55.1,381.1,,,,,,,,,,,,,,,,
15,二号钢厂,U2,79.5,471.1,67.7,331.1,,,,,,,,,,,,,,,,
15,三号商业用户,U3,47.8,431.1,47.8,281.1,,,,,,,,,,,,,,,,
16,一号线缆厂,U1,72.4,501.5,56.8,381.5,,,,,,,,,,,,,,,,
16,二号钢厂,U2,82.1,471.5,69.9,331.5,,,,,,,,,,,,,,,,
16,三号商业用户,U3,49.4,431.5,49.4,281.5,,,,,,,,,,,,,,,,
17,一号线缆厂,U1,76.2,502.3,59.8,382.3,,,,,,,,,,,,,,,,
17,二号钢厂,U2,86.4,472.3,73.6,332.3,,,,,,,,,,,,,,,,
17,三号商业用户,U3,52.0,432.3,52.0,282.3,,,,,,,,,,,,,,,,
18,一号线缆厂,U1,82.3,503.5,64.6,383.5,,,,,,,,,,,,,,,,
18,二号钢厂,U2,93.3,473.5,79.5,333.5,,,,,,,,,,,,,,,,
18,三号商业用户,U3,56.2,433.5,56.2,283.5,,,,,,,,,,,,,,,,
19,一号线缆厂,U1,85.3,504.1,67.0,384.1,,,,,,,,,,,,,,,,
19,二号钢厂,U2,96.8,474.1,82.4,334.1,,,,,,,,,,,,,,,,
19,三号商业用户,U3,58.2,434.1,58.2,284.1,,,,,,,,,,,,,,,,
